Gene,Signature,Type
BBC3,p53 Signaling,Signaling Pathways
GADD45G,p53 Signaling,Signaling Pathways
BRCA1,p53 Signaling,Signaling Pathways
FANCC,p53 Signaling,Signaling Pathways
ATM,p53 Signaling,Signaling Pathways
PMS2,p53 Signaling,Signaling Pathways
MDM2,p53 Signaling,Signaling Pathways
THBS1,PDGF Signaling,Signaling Pathways
PDGFB,PDGF Signaling,Signaling Pathways
COL5A2,PDGF Signaling,Signaling Pathways
COL4A3,PDGF Signaling,Signaling Pathways
PDGFRB,PDGF Signaling,Signaling Pathways
COL6A3,PDGF Signaling,Signaling Pathways
PDGFD,PDGF Signaling,Signaling Pathways
PIK3CB,PDGF Signaling,Signaling Pathways
COL4A5,PDGF Signaling,Signaling Pathways
NRAS,PDGF Signaling,Signaling Pathways
PLAT,PDGF Signaling,Signaling Pathways
STAT6,PDGF Signaling,Signaling Pathways
COL5A1,PDGF Signaling,Signaling Pathways
COL2A1,PDGF Signaling,Signaling Pathways
GRB7,PDGF Signaling,Signaling Pathways
THBS4,PDGF Signaling,Signaling Pathways
SPP1,PDGF Signaling,Signaling Pathways
PTPN11,PDGF Signaling,Signaling Pathways
STAT3,PDGF Signaling,Signaling Pathways
COL6A6,PDGF Signaling,Signaling Pathways
STAT1,PDGF Signaling,Signaling Pathways
COL4A4,PDGF Signaling,Signaling Pathways
PIK3R1,PDGF Signaling,Signaling Pathways
COL3A1,PDGF Signaling,Signaling Pathways
HRAS,PDGF Signaling,Signaling Pathways
STAT5B,PDGF Signaling,Signaling Pathways
PDGFRA,PDGF Signaling,Signaling Pathways
PIK3CA,PDGF Signaling,Signaling Pathways
PIK3R2,PDGF Signaling,Signaling Pathways
SOS1,PDGF Signaling,Signaling Pathways
FBP1,Pentose Phosphate,Metabolism
PFKM,Pentose Phosphate,Metabolism
GPI,Pentose Phosphate,Metabolism
PGM2,Pentose Phosphate,Metabolism
G6PD,Pentose Phosphate,Metabolism
ALDOC,Pentose Phosphate,Metabolism
ALDOA,Pentose Phosphate,Metabolism
CYFIP2,Phagocytosis,Cell Function
HLA-DQA2,Phagocytosis,Cell Function
PLA2G6,Phagocytosis,Cell Function
THBS1,Phagocytosis,Cell Function
HLA-DQA1,Phagocytosis,Cell Function
PIK3CB,Phagocytosis,Cell Function
HLA-E,Phagocytosis,Cell Function
ITGB2,Phagocytosis,Cell Function
TLR4,Phagocytosis,Cell Function
ITGB1,Phagocytosis,Cell Function
TUBB,Phagocytosis,Cell Function
HLA-A,Phagocytosis,Cell Function
LAMP2,Phagocytosis,Cell Function
CTSL,Phagocytosis,Cell Function
AKT1,Phagocytosis,Cell Function
HLA-DRB3,Phagocytosis,Cell Function
MAP2K1,Phagocytosis,Cell Function
TAP1,Phagocytosis,Cell Function
INPP5D,Phagocytosis,Cell Function
HLA-DRA,Phagocytosis,Cell Function
LAMP1,Phagocytosis,Cell Function
PIK3R3,Phagocytosis,Cell Function
COMP,Phagocytosis,Cell Function
LYN,Phagocytosis,Cell Function
HLA-DOA,Phagocytosis,Cell Function
PLD1,Phagocytosis,Cell Function
RAF1,Phagocytosis,Cell Function
TFRC,Phagocytosis,Cell Function
ITGA5,Phagocytosis,Cell Function
CD36,Phagocytosis,Cell Function
MAPK1,Phagocytosis,Cell Function
PIK3CD,Phagocytosis,Cell Function
HLA-DMA,Phagocytosis,Cell Function
CYBB,Phagocytosis,Cell Function
PLA2G4E,Phagocytosis,Cell Function
CD209,Phagocytosis,Cell Function
ITGAM,Phagocytosis,Cell Function
C1R,Phagocytosis,Cell Function
ACTB,Phagocytosis,Cell Function
PLA2G4F,Phagocytosis,Cell Function
NF2,Phagocytosis,Cell Function
CLEC7A,Phagocytosis,Cell Function
CD14,Phagocytosis,Cell Function
PLCG2,Phagocytosis,Cell Function
COLEC12,Phagocytosis,Cell Function
TAP2,Phagocytosis,Cell Function
PTPRC,Phagocytosis,Cell Function
RPS6KB1,Phagocytosis,Cell Function
OLR1,Phagocytosis,Cell Function
FCGR3A/B,Phagocytosis,Cell Function
HLA-DRB5,Phagocytosis,Cell Function
HLA-DPB1,Phagocytosis,Cell Function
HLA-DOB,Phagocytosis,Cell Function
THBS4,Phagocytosis,Cell Function
LAT,Phagocytosis,Cell Function
RAC2,Phagocytosis,Cell Function
HLA-DQB1,Phagocytosis,Cell Function
PIK3R1,Phagocytosis,Cell Function
MARCO,Phagocytosis,Cell Function
HCK,Phagocytosis,Cell Function
HLA-B,Phagocytosis,Cell Function
PRKCA,Phagocytosis,Cell Function
MBL2,Phagocytosis,Cell Function
HLA-G,Phagocytosis,Cell Function
HLA-DRB4,Phagocytosis,Cell Function
FGCR2A/B,Phagocytosis,Cell Function
PRKCE,Phagocytosis,Cell Function
C3,Phagocytosis,Cell Function
FCAR,Phagocytosis,Cell Function
TLR6,Phagocytosis,Cell Function
PRKCD,Phagocytosis,Cell Function
NCF4,Phagocytosis,Cell Function
PLA2G4C,Phagocytosis,Cell Function
WIPF1,Phagocytosis,Cell Function
ABL1,Phagocytosis,Cell Function
HLA-C,Phagocytosis,Cell Function
CD3G,Phagocytosis,Cell Function
PIK3R2,Phagocytosis,Cell Function
HLA-DMB,Phagocytosis,Cell Function
CTSS,Phagocytosis,Cell Function
MRC1,Phagocytosis,Cell Function
ELMO1,Phagocytosis,Cell Function
HLA-DRB,Phagocytosis,Cell Function
ITGAV,Phagocytosis,Cell Function
NOS1,Phagocytosis,Cell Function
PRKCB,Phagocytosis,Cell Function
HLA-F,Phagocytosis,Cell Function
ITGB3,Phagocytosis,Cell Function
SYK,Phagocytosis,Cell Function
MAPK3,Phagocytosis,Cell Function
HLA-DPA1,Phagocytosis,Cell Function
MSR1,Phagocytosis,Cell Function
FCGR1A,Phagocytosis,Cell Function
BTK,Phagocytosis,Cell Function
RAB7A,Phagocytosis,Cell Function
MPO,Phagocytosis,Cell Function
ITGA2,Phagocytosis,Cell Function
AKT3,Phagocytosis,Cell Function
FYN,Phagocytosis,Cell Function
PIK3CA,Phagocytosis,Cell Function
PRKCG,Phagocytosis,Cell Function
RAC1,Phagocytosis,Cell Function
AKT2,Phagocytosis,Cell Function
TLR2,Phagocytosis,Cell Function
PLA2G4A,Phagocytosis,Cell Function
THBS1,PI3K-Akt Signaling,Signaling Pathways
VEGFB,PI3K-Akt Signaling,Signaling Pathways
IL4R,PI3K-Akt Signaling,Signaling Pathways
IL3,PI3K-Akt Signaling,Signaling Pathways
ITGA2B,PI3K-Akt Signaling,Signaling Pathways
TNR,PI3K-Akt Signaling,Signaling Pathways
GNG12,PI3K-Akt Signaling,Signaling Pathways
LAMC3,PI3K-Akt Signaling,Signaling Pathways
TCL1A,PI3K-Akt Signaling,Signaling Pathways
CHUK,PI3K-Akt Signaling,Signaling Pathways
IL7,PI3K-Akt Signaling,Signaling Pathways
RPTOR,PI3K-Akt Signaling,Signaling Pathways
NFKB1,PI3K-Akt Signaling,Signaling Pathways
CCND1,PI3K-Akt Signaling,Signaling Pathways
ITGB1,PI3K-Akt Signaling,Signaling Pathways
IRS1,PI3K-Akt Signaling,Signaling Pathways
CCNE1,PI3K-Akt Signaling,Signaling Pathways
MAPK1,PI3K-Akt Signaling,Signaling Pathways
EGFR,PI3K-Akt Signaling,Signaling Pathways
CCND2,PI3K-Akt Signaling,Signaling Pathways
AKT1,PI3K-Akt Signaling,Signaling Pathways
CREB1,PI3K-Akt Signaling,Signaling Pathways
ITGB4,PI3K-Akt Signaling,Signaling Pathways
KDR,PI3K-Akt Signaling,Signaling Pathways
FN1,PI3K-Akt Signaling,Signaling Pathways
COL4A3,PI3K-Akt Signaling,Signaling Pathways
MAP2K1,PI3K-Akt Signaling,Signaling Pathways
BCL2L1,PI3K-Akt Signaling,Signaling Pathways
EPO,PI3K-Akt Signaling,Signaling Pathways
LAMC2,PI3K-Akt Signaling,Signaling Pathways
HSP90B1,PI3K-Akt Signaling,Signaling Pathways
BAD,PI3K-Akt Signaling,Signaling Pathways
PIK3R5,PI3K-Akt Signaling,Signaling Pathways
NOS3,PI3K-Akt Signaling,Signaling Pathways
MYB,PI3K-Akt Signaling,Signaling Pathways
CHAD,PI3K-Akt Signaling,Signaling Pathways
ANGPT1,PI3K-Akt Signaling,Signaling Pathways
GRB2,PI3K-Akt Signaling,Signaling Pathways
COL6A3,PI3K-Akt Signaling,Signaling Pathways
PDGFC,PI3K-Akt Signaling,Signaling Pathways
MET,PI3K-Akt Signaling,Signaling Pathways
IBSP,PI3K-Akt Signaling,Signaling Pathways
PTEN,PI3K-Akt Signaling,Signaling Pathways
CSF1R,PI3K-Akt Signaling,Signaling Pathways
MTOR,PI3K-Akt Signaling,Signaling Pathways
DDIT4,PI3K-Akt Signaling,Signaling Pathways
EGF,PI3K-Akt Signaling,Signaling Pathways
ESR1,PI3K-Akt Signaling,Signaling Pathways
FGF7,PI3K-Akt Signaling,Signaling Pathways
PDGFD,PI3K-Akt Signaling,Signaling Pathways
LAMA5,PI3K-Akt Signaling,Signaling Pathways
PIK3R3,PI3K-Akt Signaling,Signaling Pathways
PIK3CB,PI3K-Akt Signaling,Signaling Pathways
CDKN1B,PI3K-Akt Signaling,Signaling Pathways
RPS6,PI3K-Akt Signaling,Signaling Pathways
FGF4,PI3K-Akt Signaling,Signaling Pathways
SGK1,PI3K-Akt Signaling,Signaling Pathways
COMP,PI3K-Akt Signaling,Signaling Pathways
AREG,PI3K-Akt Signaling,Signaling Pathways
FGF22,PI3K-Akt Signaling,Signaling Pathways
CDKN1A,PI3K-Akt Signaling,Signaling Pathways
CD28,PI3K-Akt Signaling,Signaling Pathways
COL4A5,PI3K-Akt Signaling,Signaling Pathways
THBS4,PI3K-Akt Signaling,Signaling Pathways
EFNA1,PI3K-Akt Signaling,Signaling Pathways
TLR4,PI3K-Akt Signaling,Signaling Pathways
ERBB2,PI3K-Akt Signaling,Signaling Pathways
PRKAA2,PI3K-Akt Signaling,Signaling Pathways
IL3RA,PI3K-Akt Signaling,Signaling Pathways
RAF1,PI3K-Akt Signaling,Signaling Pathways
FGF16,PI3K-Akt Signaling,Signaling Pathways
COL4A6,PI3K-Akt Signaling,Signaling Pathways
ANGPT2,PI3K-Akt Signaling,Signaling Pathways
KITLG,PI3K-Akt Signaling,Signaling Pathways
PIK3R1,PI3K-Akt Signaling,Signaling Pathways
IKBKB,PI3K-Akt Signaling,Signaling Pathways
PIK3CD,PI3K-Akt Signaling,Signaling Pathways
FLT3,PI3K-Akt Signaling,Signaling Pathways
BCL2,PI3K-Akt Signaling,Signaling Pathways
FGFR4,PI3K-Akt Signaling,Signaling Pathways
SPP1,PI3K-Akt Signaling,Signaling Pathways
TP53,PI3K-Akt Signaling,Signaling Pathways
CREB5,PI3K-Akt Signaling,Signaling Pathways
MYC,PI3K-Akt Signaling,Signaling Pathways
MAP2K2,PI3K-Akt Signaling,Signaling Pathways
ITGA4,PI3K-Akt Signaling,Signaling Pathways
CD86,PI3K-Akt Signaling,Signaling Pathways
PDGFA,PI3K-Akt Signaling,Signaling Pathways
KRAS,PI3K-Akt Signaling,Signaling Pathways
RELN,PI3K-Akt Signaling,Signaling Pathways
PDGFRB,PI3K-Akt Signaling,Signaling Pathways
RICTOR,PI3K-Akt Signaling,Signaling Pathways
PPP2R2B,PI3K-Akt Signaling,Signaling Pathways
PGF,PI3K-Akt Signaling,Signaling Pathways
EPHA2,PI3K-Akt Signaling,Signaling Pathways
CDK2,PI3K-Akt Signaling,Signaling Pathways
OSM,PI3K-Akt Signaling,Signaling Pathways
CREB3L4,PI3K-Akt Signaling,Signaling Pathways
ITGA7,PI3K-Akt Signaling,Signaling Pathways
JAK1,PI3K-Akt Signaling,Signaling Pathways
PTPN11,PI3K-Akt Signaling,Signaling Pathways
NTRK2,PI3K-Akt Signaling,Signaling Pathways
IL2,PI3K-Akt Signaling,Signaling Pathways
TRAT1,PI3K-Akt Signaling,Signaling Pathways
ESR2,PI3K-Akt Signaling,Signaling Pathways
COL2A1,PI3K-Akt Signaling,Signaling Pathways
TNC,PI3K-Akt Signaling,Signaling Pathways
RAC1,PI3K-Akt Signaling,Signaling Pathways
MCL1,PI3K-Akt Signaling,Signaling Pathways
FGF1,PI3K-Akt Signaling,Signaling Pathways
NTF3,PI3K-Akt Signaling,Signaling Pathways
RPS6KB1,PI3K-Akt Signaling,Signaling Pathways
PPP2R3A,PI3K-Akt Signaling,Signaling Pathways
IL6,PI3K-Akt Signaling,Signaling Pathways
FGF17,PI3K-Akt Signaling,Signaling Pathways
FGF6,PI3K-Akt Signaling,Signaling Pathways
HGF,PI3K-Akt Signaling,Signaling Pathways
FGF23,PI3K-Akt Signaling,Signaling Pathways
FGF9,PI3K-Akt Signaling,Signaling Pathways
NR4A1,PI3K-Akt Signaling,Signaling Pathways
CSF1,PI3K-Akt Signaling,Signaling Pathways
RAC2,PI3K-Akt Signaling,Signaling Pathways
COL4A4,PI3K-Akt Signaling,Signaling Pathways
PDGFB,PI3K-Akt Signaling,Signaling Pathways
IFNB1,PI3K-Akt Signaling,Signaling Pathways
GNGT1,PI3K-Akt Signaling,Signaling Pathways
CD19,PI3K-Akt Signaling,Signaling Pathways
ITGA5,PI3K-Akt Signaling,Signaling Pathways
FGF8,PI3K-Akt Signaling,Signaling Pathways
CSF3,PI3K-Akt Signaling,Signaling Pathways
EFNA2,PI3K-Akt Signaling,Signaling Pathways
CDK4,PI3K-Akt Signaling,Signaling Pathways
ITGA6,PI3K-Akt Signaling,Signaling Pathways
IKBKG,PI3K-Akt Signaling,Signaling Pathways
FGF18,PI3K-Akt Signaling,Signaling Pathways
BDNF,PI3K-Akt Signaling,Signaling Pathways
LAMA1,PI3K-Akt Signaling,Signaling Pathways
ITGAV,PI3K-Akt Signaling,Signaling Pathways
FGF19,PI3K-Akt Signaling,Signaling Pathways
IGF1,PI3K-Akt Signaling,Signaling Pathways
VEGFA,PI3K-Akt Signaling,Signaling Pathways
FGFR3,PI3K-Akt Signaling,Signaling Pathways
LCK,PI3K-Akt Signaling,Signaling Pathways
FGFR1,PI3K-Akt Signaling,Signaling Pathways
NTRK1,PI3K-Akt Signaling,Signaling Pathways
CCND3,PI3K-Akt Signaling,Signaling Pathways
EFNA3,PI3K-Akt Signaling,Signaling Pathways
FGF20,PI3K-Akt Signaling,Signaling Pathways
FGFR2,PI3K-Akt Signaling,Signaling Pathways
COL1A2,PI3K-Akt Signaling,Signaling Pathways
AKT3,PI3K-Akt Signaling,Signaling Pathways
IFNA2,PI3K-Akt Signaling,Signaling Pathways
SOS1,PI3K-Akt Signaling,Signaling Pathways
IGF1R,PI3K-Akt Signaling,Signaling Pathways
EIF4EBP1,PI3K-Akt Signaling,Signaling Pathways
EPOR,PI3K-Akt Signaling,Signaling Pathways
IFNA7/17,PI3K-Akt Signaling,Signaling Pathways
IL2RB,PI3K-Akt Signaling,Signaling Pathways
FLT3LG,PI3K-Akt Signaling,Signaling Pathways
FOXO4,PI3K-Akt Signaling,Signaling Pathways
ITGA3,PI3K-Akt Signaling,Signaling Pathways
GNG4,PI3K-Akt Signaling,Signaling Pathways
ITGA1,PI3K-Akt Signaling,Signaling Pathways
LAMB3,PI3K-Akt Signaling,Signaling Pathways
EFNA5,PI3K-Akt Signaling,Signaling Pathways
STK11,PI3K-Akt Signaling,Signaling Pathways
LAMB4,PI3K-Akt Signaling,Signaling Pathways
FGF21,PI3K-Akt Signaling,Signaling Pathways
CCNE2,PI3K-Akt Signaling,Signaling Pathways
ITGA2,PI3K-Akt Signaling,Signaling Pathways
IFNAR2,PI3K-Akt Signaling,Signaling Pathways
IL6R,PI3K-Akt Signaling,Signaling Pathways
PIK3CG,PI3K-Akt Signaling,Signaling Pathways
FGF5,PI3K-Akt Signaling,Signaling Pathways
PPP2R2C,PI3K-Akt Signaling,Signaling Pathways
KIT,PI3K-Akt Signaling,Signaling Pathways
PPP2CB,PI3K-Akt Signaling,Signaling Pathways
PRKCA,PI3K-Akt Signaling,Signaling Pathways
IL4,PI3K-Akt Signaling,Signaling Pathways
CSF3R,PI3K-Akt Signaling,Signaling Pathways
ITGA9,PI3K-Akt Signaling,Signaling Pathways
PRL,PI3K-Akt Signaling,Signaling Pathways
IFNA8,PI3K-Akt Signaling,Signaling Pathways
PDGFRA,PI3K-Akt Signaling,Signaling Pathways
ITGB7,PI3K-Akt Signaling,Signaling Pathways
GHR,PI3K-Akt Signaling,Signaling Pathways
BRCA1,PI3K-Akt Signaling,Signaling Pathways
FGF2,PI3K-Akt Signaling,Signaling Pathways
IL7R,PI3K-Akt Signaling,Signaling Pathways
ITGB8,PI3K-Akt Signaling,Signaling Pathways
CREB3L1,PI3K-Akt Signaling,Signaling Pathways
IL2RG,PI3K-Akt Signaling,Signaling Pathways
ITGB6,PI3K-Akt Signaling,Signaling Pathways
MDM2,PI3K-Akt Signaling,Signaling Pathways
CASP9,PI3K-Akt Signaling,Signaling Pathways
GSK3B,PI3K-Akt Signaling,Signaling Pathways
THEM4,PI3K-Akt Signaling,Signaling Pathways
COL6A6,PI3K-Akt Signaling,Signaling Pathways
CREB3L3,PI3K-Akt Signaling,Signaling Pathways
FGF3,PI3K-Akt Signaling,Signaling Pathways
SGK2,PI3K-Akt Signaling,Signaling Pathways
MAPK3,PI3K-Akt Signaling,Signaling Pathways
PRR5,PI3K-Akt Signaling,Signaling Pathways
PIK3CA,PI3K-Akt Signaling,Signaling Pathways
NGF,PI3K-Akt Signaling,Signaling Pathways
SOS2,PI3K-Akt Signaling,Signaling Pathways
VEGFC,PI3K-Akt Signaling,Signaling Pathways
JAK3,PI3K-Akt Signaling,Signaling Pathways
ITGB3,PI3K-Akt Signaling,Signaling Pathways
ATF2,PI3K-Akt Signaling,Signaling Pathways
PRLR,PI3K-Akt Signaling,Signaling Pathways
FASLG,PI3K-Akt Signaling,Signaling Pathways
RELA,PI3K-Akt Signaling,Signaling Pathways
ITGA8,PI3K-Akt Signaling,Signaling Pathways
SYK,PI3K-Akt Signaling,Signaling Pathways
COL1A1,PI3K-Akt Signaling,Signaling Pathways
TPTE,PI3K-Akt Signaling,Signaling Pathways
CDK6,PI3K-Akt Signaling,Signaling Pathways
JAK2,PI3K-Akt Signaling,Signaling Pathways
TNN,PI3K-Akt Signaling,Signaling Pathways
NGFR,PI3K-Akt Signaling,Signaling Pathways
TLR2,PI3K-Akt Signaling,Signaling Pathways
PIK3R2,PI3K-Akt Signaling,Signaling Pathways
NRAS,PI3K-Akt Signaling,Signaling Pathways
PPP2R1A,PI3K-Akt Signaling,Signaling Pathways
TCL1B,PI3K-Akt Signaling,Signaling Pathways
GNG7,PI3K-Akt Signaling,Signaling Pathways
AKT2,PI3K-Akt Signaling,Signaling Pathways
FGF10,PI3K-Akt Signaling,Signaling Pathways
FYN,PI3K-Akt Signaling,Signaling Pathways
VEGFD,PI3K-Akt Signaling,Signaling Pathways
LAMA3,PI3K-Akt Signaling,Signaling Pathways
FLT1,PI3K-Akt Signaling,Signaling Pathways
IFNAR1,PI3K-Akt Signaling,Signaling Pathways
HRAS,PI3K-Akt Signaling,Signaling Pathways
RBL2,PI3K-Akt Signaling,Signaling Pathways
IL2RA,PI3K-Akt Signaling,Signaling Pathways
PCK2,PI3K-Akt Signaling,Signaling Pathways
CD80,PI3K-Akt Signaling,Signaling Pathways
TSC1,PI3K-Akt Signaling,Signaling Pathways
PCK1,PI3K-Akt Signaling,Signaling Pathways
IFNA1,PI3K-Akt Signaling,Signaling Pathways
CD36,PPAR Signaling,Signaling Pathways
MMP1,PPAR Signaling,Signaling Pathways
EHHADH,PPAR Signaling,Signaling Pathways
PPARG,PPAR Signaling,Signaling Pathways
CYP4A11/22,PPAR Signaling,Signaling Pathways
APOC3,PPAR Signaling,Signaling Pathways
APOA1,PPAR Signaling,Signaling Pathways
OLR1,PPAR Signaling,Signaling Pathways
UBC,PPAR Signaling,Signaling Pathways
RXRG,PPAR Signaling,Signaling Pathways
CYP8B1,PPAR Signaling,Signaling Pathways
PCK2,PPAR Signaling,Signaling Pathways
PCK1,PPAR Signaling,Signaling Pathways
APOA2,PPAR Signaling,Signaling Pathways
ANGPTL4,PPAR Signaling,Signaling Pathways
PTGER4,Prostaglandin Inflammation,Immune Response
PTGS2,Prostaglandin Inflammation,Immune Response
PTGDR2,Prostaglandin Inflammation,Immune Response
HPGD,Prostaglandin Inflammation,Immune Response
ERBB2,Prostate Cancer,Immune Cell Function
CASP9,Prostate Cancer,Immune Cell Function
IKBKB,Prostate Cancer,Immune Cell Function
GRB2,Prostate Cancer,Immune Cell Function
EGF,Prostate Cancer,Immune Cell Function
BAD,Prostate Cancer,Immune Cell Function
MAP2K1,Prostate Cancer,Immune Cell Function
LEF1,Prostate Cancer,Immune Cell Function
PDGFA,Prostate Cancer,Immune Cell Function
SPACA3,Prostate Cancer,Immune Cell Function
RELA,Prostate Cancer,Immune Cell Function
PIK3R1,Prostate Cancer,Immune Cell Function
PIK3CA,Prostate Cancer,Immune Cell Function
BRAF,Prostate Cancer,Immune Cell Function
PASD1,Prostate Cancer,Immune Cell Function
E2F1,Prostate Cancer,Immune Cell Function
PDGFRA,Prostate Cancer,Immune Cell Function
CTNNB1,Prostate Cancer,Immune Cell Function
PDGFRB,Prostate Cancer,Immune Cell Function
NFKBIA,Prostate Cancer,Immune Cell Function
AKT2,Prostate Cancer,Immune Cell Function
CHUK,Prostate Cancer,Immune Cell Function
DIPK2B,Prostate Cancer,Immune Cell Function
AKT3,Prostate Cancer,Immune Cell Function
RAF1,Prostate Cancer,Immune Cell Function
CCNE1,Prostate Cancer,Immune Cell Function
AKT1,Prostate Cancer,Immune Cell Function
CREB3L3,Prostate Cancer,Immune Cell Function
IL1R2,Prostate Cancer,Immune Cell Function
NKX3-1,Prostate Cancer,Immune Cell Function
PIK3CD,Prostate Cancer,Immune Cell Function
SRD5A2,Prostate Cancer,Immune Cell Function
FGFR1,Prostate Cancer,Immune Cell Function
HSP90B1,Prostate Cancer,Immune Cell Function
MAPK3,Prostate Cancer,Immune Cell Function
PIK3R3,Prostate Cancer,Immune Cell Function
PLAU,Prostate Cancer,Immune Cell Function
PRM1,Prostate Cancer,Immune Cell Function
PTEN,Prostate Cancer,Immune Cell Function
CCNE2,Prostate Cancer,Immune Cell Function
TCF7,Prostate Cancer,Immune Cell Function
DDX43,Prostate Cancer,Immune Cell Function
HRAS,Prostate Cancer,Immune Cell Function
SPA17,Prostate Cancer,Immune Cell Function
MAP2K2,Prostate Cancer,Immune Cell Function
CDKN1B,Prostate Cancer,Immune Cell Function
BCL2,Prostate Cancer,Immune Cell Function
PLAT,Prostate Cancer,Immune Cell Function
GSK3B,Prostate Cancer,Immune Cell Function
ROPN1,Prostate Cancer,Immune Cell Function
MAPK1,Prostate Cancer,Immune Cell Function
MTOR,Prostate Cancer,Immune Cell Function
SSX4,Prostate Cancer,Immune Cell Function
FGFR2,Prostate Cancer,Immune Cell Function
EGFR,Prostate Cancer,Immune Cell Function
PIK3R2,Prostate Cancer,Immune Cell Function
EP300,Prostate Cancer,Immune Cell Function
CREBBP,Prostate Cancer,Immune Cell Function
PDGFB,Prostate Cancer,Immune Cell Function
CREB5,Prostate Cancer,Immune Cell Function
CREB3L1,Prostate Cancer,Immune Cell Function
CDK2,Prostate Cancer,Immune Cell Function
CREB3L4,Prostate Cancer,Immune Cell Function
MMP3,Prostate Cancer,Immune Cell Function
NFKB1,Prostate Cancer,Immune Cell Function
TP53,Prostate Cancer,Immune Cell Function
KRAS,Prostate Cancer,Immune Cell Function
CREB1,Prostate Cancer,Immune Cell Function
SPANXB1,Prostate Cancer,Immune Cell Function
CCND1,Prostate Cancer,Immune Cell Function
CDKN1A,Prostate Cancer,Immune Cell Function
PDGFD,Prostate Cancer,Immune Cell Function
RB1,Prostate Cancer,Immune Cell Function
TPTE,Prostate Cancer,Immune Cell Function
AKAP1,Prostate Cancer,Immune Cell Function
IKBKG,Prostate Cancer,Immune Cell Function
MDM2,Prostate Cancer,Immune Cell Function
SOS2,Prostate Cancer,Immune Cell Function
ERG,Prostate Cancer,Immune Cell Function
MMP9,Prostate Cancer,Immune Cell Function
E2F3,Prostate Cancer,Immune Cell Function
TMPRSS2,Prostate Cancer,Immune Cell Function
PDGFC,Prostate Cancer,Immune Cell Function
IGF1,Prostate Cancer,Immune Cell Function
IGF1R,Prostate Cancer,Immune Cell Function
CMTM4,Prostate Cancer,Immune Cell Function
NRAS,Prostate Cancer,Immune Cell Function
ZEB1,Prostate Cancer,Immune Cell Function
TCF7L1,Prostate Cancer,Immune Cell Function
PIK3CB,Prostate Cancer,Immune Cell Function
SOS1,Prostate Cancer,Immune Cell Function
AR,Prostate Cancer,Immune Cell Function
HSPA1A,Proteotoxic Stress,Cell Function
TRAF2,Proteotoxic Stress,Cell Function
SKP1,Proteotoxic Stress,Cell Function
HSPA2,Proteotoxic Stress,Cell Function
BCL2,Proteotoxic Stress,Cell Function
HSP90B1,Proteotoxic Stress,Cell Function
USP9Y,Proteotoxic Stress,Cell Function
EIF2AK2,Proteotoxic Stress,Cell Function
MAPK9,Proteotoxic Stress,Cell Function
ERO1A,Proteotoxic Stress,Cell Function
DDIT3,Proteotoxic Stress,Cell Function
CASP12,Proteotoxic Stress,Cell Function
MAPK8,Proteotoxic Stress,Cell Function
MAP3K5,Proteotoxic Stress,Cell Function
MAPK10,Proteotoxic Stress,Cell Function
NFE2L2,Proteotoxic Stress,Cell Function
BAG1,Proteotoxic Stress,Cell Function
HSPA6,Proteotoxic Stress,Cell Function
CAPN2,Proteotoxic Stress,Cell Function
CUL1,Proteotoxic Stress,Cell Function
RBX1,Proteotoxic Stress,Cell Function
BAX,Proteotoxic Stress,Cell Function
P2RY13,Purinergic Signaling,Signaling Pathways
GNAS,Purinergic Signaling,Signaling Pathways
ADORA2A,Purinergic Signaling,Signaling Pathways
APP,RAGE Signaling,Signaling Pathways
HMGB1,RAGE Signaling,Signaling Pathways
S100B,RAGE Signaling,Signaling Pathways
SAA1,RAGE Signaling,Signaling Pathways
MAPK1,RAGE Signaling,Signaling Pathways
S100A12,RAGE Signaling,Signaling Pathways
MAPK3,RAGE Signaling,Signaling Pathways
LGALS3,RAGE Signaling,Signaling Pathways
ADH1A/B/C,Retinoic Acid Signaling,Signaling Pathways
PDK1,Retinoic Acid Signaling,Signaling Pathways
ADH4,Retinoic Acid Signaling,Signaling Pathways
CRABP2,Retinoic Acid Signaling,Signaling Pathways
RXRG,Retinoic Acid Signaling,Signaling Pathways
EIF5AL1,RNA Processing,Cell Function
CNOT2,RNA Processing,Cell Function
MRM2,RNA Processing,Cell Function
PHF6,RNA Processing,Cell Function
MBNL1,RNA Processing,Cell Function
API5,RNA Processing,Cell Function
SF3B1,RNA Processing,Cell Function
U2AF1,RNA Processing,Cell Function
PURA,RNA Processing,Cell Function
RPL7A,RNA Processing,Cell Function
ZNF205,RNA Processing,Cell Function
NASP,RNA Processing,Cell Function
PTCD2,RNA Processing,Cell Function
GTF3C1,RNA Processing,Cell Function
MTF2,RNA Processing,Cell Function
SRP54,RNA Processing,Cell Function
PRMT8,RNA Processing,Cell Function
DACH2,RNA Processing,Cell Function
MED12,RNA Processing,Cell Function
HMGN5,RNA Processing,Cell Function
CPSF7,RNA Processing,Cell Function
SRSF2,RNA Processing,Cell Function
ATP11C,RNA Processing,Cell Function
ANP32B,RNA Processing,Cell Function
YTHDF2,RNA Processing,Cell Function
ILF3,RNA Processing,Cell Function
FUBP1,RNA Processing,Cell Function
MBNL3,RNA Processing,Cell Function
RYBP,RNA Processing,Cell Function
ZBTB32,RNA Processing,Cell Function
TAF3,RNA Processing,Cell Function
ZBTB20,RNA Processing,Cell Function
CD3EAP,RNA Processing,Cell Function
SETBP1,RNA Processing,Cell Function
BCOR,RNA Processing,Cell Function
