"","23R8925|009|CD11c","23R8925|010|CD11c","23R9663|015|CD11c","23R9663|016|CD11c","23R9663|004|CD11c","23R9663|005|CD11c","23R9663|006|CD11c","23R9663|007|CD11c","23R8925|013|CD11c","23R8925|014|CD11c","23R8925|017|CD11c","23R8925|018|CD11c","23R9663|009|CD11c","23R9663|002|CD11c","23R9663|013|CD11c","23R9663|001|CD11c"
"MELK",33.2007718094114,36.3410317718606,38.9121419926919,40.9613118921681,42.8246813286211,39.9832723198232,41.8301771948634,42.9128747466685,39.3089729772207,32.5348420373158,34.1820425473699,36.5741117860336,41.0238461142912,45.7683574453153,30.2276847179887,35.090910067209
"YTHDF2",47.758526375707,49.9772778704309,50.4079863989389,50.4274220475123,51.4437124321353,49.9844075422405,51.5515366377804,49.7233144847879,51.5218141485039,45.0505183099991,49.103776459236,51.718281744483,50.3829318777286,45.4664538126635,61.5623768846683,44.9641056686248
"ABCB1",29.3082276937968,31.4626565065657,33.8204724548453,38.9564698737216,30.5339961599359,34.7884925306944,33.0885889379152,35.1485392920588,30.0349580687991,36.9785091505642,33.606655058154,36.2392710794031,32.5468758148527,39.9104095440259,33.2415053245905,38.1945094751848
"TARP/TRGC1/2",35.8809507718314,37.3170948937726,40.9642680612031,43.6812134346946,39.3992586797649,40.5864011842392,37.8919064965267,39.0362672511835,34.8986127060928,39.0621181881739,37.5675884476733,43.307594869969,32.9711839630411,32.8722830394723,32.6101141493059,34.7436416636906
"GBP4",47.5900301778522,48.6043608445661,43.2068315611724,57.9064937541223,43.273022602023,43.8939150555754,41.6553037709376,42.6749816064825,41.4983366307404,43.2523612894445,43.2676815752537,45.7508467300848,84.6114843545606,50.4477719003885,64.8619142523876,51.3515560652854
"ILF3",92.5702615338072,92.6706036511365,82.787256148215,73.4654279398145,71.7213755066239,78.1913389257275,79.9056660241039,71.5132432768122,90.6315842749969,84.6701164161225,88.5953075034888,85.1022338405989,71.1388707756525,59.2554978644137,93.0127792169758,62.2309795627589
"ALDOC",35.4268639036675,31.4713368241292,37.8057956519085,33.4417544390045,31.6161095494913,39.1213747681106,35.4155036501768,33.1642781557072,31.6800259712115,38.1152473235092,34.639333363437,41.2527090259513,34.0086904581713,36.6790633808028,24.0134132347503,35.3264113368333
"FCER1A",27.6524833441728,33.6063771854144,34.991820419559,28.4544273028585,33.4971232507948,32.1871246780783,32.9948624116455,35.4218615128321,36.8562399583479,39.4430008872061,33.1038967934213,31.2670495676348,37.1249556506566,41.4687805650031,27.2229333011301,42.095720917504
"BMI1",42.5338310170867,27.8063685895294,28.8972265631593,28.4042793066479,34.2766367599955,28.6296924394429,28.8770927391441,27.3487002378784,37.2559376466411,29.5190665736756,45.9256191982923,38.6151698675913,29.8650935645513,26.3843487607675,27.2611794372988,33.7415869573112
"EFNA3",26.1980912033277,27.353974589177,23.1591356831101,24.7698951064661,27.3109787939956,26.1783619541933,26.1317630487314,25.7159253978743,25.7760963272722,25.3014239978685,31.5320271627442,31.0523661424859,22.885624826012,27.7964182467094,25.2610305362487,31.1051411097877
"COL27A1",36.3434459681262,40.234776070794,41.1828868135087,41.8146605789813,42.4437814814949,40.9693379018026,41.1694232240873,41.8461833743536,36.266659876206,43.8165924778532,30.9823883986686,29.2263713334804,40.8370536563111,37.2559260547786,44.2147831976242,40.3988158345315
"CD69",48.2223410671926,53.1536355454261,47.3624870634639,43.9847330293439,39.1688477793966,41.4983946874275,44.6777423530474,45.4083152698256,40.5004358597499,54.5418738000096,63.3534256763938,54.2815478690966,47.5042989683874,50.672970712436,36.135402303642,44.0915091937985
"ARNT2",42.4574293448482,44.4777863493694,39.2630774815776,43.9943581292581,47.2817776066259,42.608526991986,42.3411571918452,44.0330989769681,41.9003326320913,38.7288439035449,41.1209246748933,35.2981659420624,42.5580288727144,52.6030349652122,43.0272123028184,47.7094097346176
"RPS6",1180.14026999771,1101.46865363713,930.014025860564,641.247268843385,690.821082622274,817.65629582032,812.04948812517,682.535978494658,610.250228079062,740.25532923776,1675.87490506026,1647.64154000913,523.516025422032,509.370658518498,846.500664851462,534.754387068494
"GBP2",33.7330235287816,34.8076219698651,37.3154026251885,36.4932896587174,34.482430853344,35.5303133528623,34.2229796769314,34.579616772876,32.143448534653,39.3085133597843,35.3374033641413,31.4649667856871,48.1963648235799,39.0369159381788,35.7816434526916,43.1513696207988
"SFRP2",33.3969817612499,31.7353768279113,33.7102522935577,34.2180498750092,34.4138570728231,34.056680986051,33.073553370287,32.2684446314496,31.6073018214095,27.108961677719,29.7029793045537,26.2570398551999,36.9358935077325,33.7844171490388,26.6942319837776,40.2045622449103
"IL12A",25.6597095037846,25.3019769511595,23.7332457956004,24.9921157445611,31.5796559656665,26.7691195766694,27.6954135623568,27.9381993113173,23.9305129635526,30.8782642580828,26.6198904256714,23.8420042175978,30.2817799595122,32.9808229871985,25.6345912131977,35.1062919411533
"CPA3",21.7562221615979,19.5603603539999,30.6570953174194,25.0067735073687,27.1546014907174,26.8197842357411,37.5538580897742,37.5274543973272,24.0806222066544,20.0747477748823,23.3905773456916,21.7822572240305,28.6996757449588,32.9492018139948,14.3857627679152,30.1360286684073
"CACNB4",23.7308572154539,23.1205808998936,23.6934950532787,24.8446815818079,26.7047732173434,24.4161069588897,22.7262260871096,24.1246237299638,22.2850965462714,25.5932321641066,22.5361093888932,25.0939619687789,24.0595581942707,28.1916581146565,20.4699250718622,27.3331543347675
"IFNAR2",67.6929114032624,66.0142518119606,61.9279925551739,64.3393285449835,67.4457069361699,64.6530586500948,64.6515354307721,68.8660266400948,71.6412518525581,59.2306805589279,65.6656640739494,62.3035976361444,69.2824293977317,55.1686351081189,71.4577358751527,52.9381722632255
"COL11A1",32.2370401406574,30.1554956825371,32.0715065814668,32.6901934686691,31.1215534069151,33.4491896648488,29.6294152071321,36.0684537629095,31.7538484037478,31.1246646381123,28.8685197190165,26.0330297377452,33.3073219099863,32.9315727468945,27.1386501556329,34.0614610042881
"CACNA1G",24.7531854836862,25.7542483972135,27.4635504269793,28.406111921293,26.9408723024012,24.9729016973475,27.5733949482398,28.7112349107908,29.9303753094059,24.2469211690623,30.2366292511607,27.0536747779124,30.2093564431228,33.9016948533958,27.7412892503679,36.0439535812049
"EXO1",28.3444025797897,29.761239109513,33.2095643785456,31.8251721263674,32.1746849402916,32.0479657106268,31.6228455704095,32.0977425507578,31.0621990580834,28.2129132432405,30.8464954903366,26.7746748749477,30.4736677140988,34.0875365105175,27.7999905369055,38.5689374979917
"EGR1",63.3000044243196,46.8237314240512,35.7653631249017,38.9214078027267,38.6921035451954,42.8169930056933,42.3745000107673,49.7573516764555,153.12728647197,59.8896380216646,60.515321251677,39.5534180099324,35.2600688911857,89.1507290312873,63.3791104550308,88.557747267461
"KRT10",38.8814187643605,41.179059402224,43.1545455698003,38.729054843108,37.7910536933624,35.6633418875909,36.8753419910097,38.0025405535227,42.0001304041981,36.3133580649179,39.9076869080905,41.5391558722503,38.2514156341815,35.347912184861,38.0897726221826,39.9927197266262
"IL23A",29.0656717560469,28.4064938638066,26.0867778485292,28.4454227854443,32.2302362752117,30.061539569707,29.9588109212001,28.3702783867735,27.3976804712359,28.4588409613808,33.0716341443302,30.3205904890767,31.2734440908612,32.9652328960949,23.0234686608869,34.3702256578761
"RPS27A",1059.88649201347,971.079721631187,782.207612559851,556.032019235925,597.253747082506,680.813278754465,675.8500899049,585.848396967614,518.342050457256,627.503698086109,1326.18161626584,1307.26240734133,459.74998169254,506.572378032885,724.777938641043,477.568809706978
"CACNA1E",27.1916977385171,25.0219781942081,27.7345803250162,28.2555866353118,26.3430131146603,28.6929270812969,27.7069924943369,29.228365581256,29.7711525356833,27.423797760487,24.4121632869862,27.6118439063232,29.8263067121782,37.953977034401,23.0234686608869,27.7076525445257
